{'test_mse_loss': 37.94253158569336, 'test_mae_loss': 2.815596103668213, 'test_mape_loss': 0.8035062551498413, 'test_ccc_loss': 0.4909118397217339, 'test_rsquare_loss': -0.11921397937227307, 'test_pcc_loss': 0.49091180552872704}
{'test_mse_loss': 37.94253158569336, 'test_mae_loss': 2.815596103668213, 'test_mape_loss': 0.8035062551498413, 'test_ccc_loss': 0.4909118397217339, 'test_rsquare_loss': -0.11921397937227307, 'test_pcc_loss': 0.49091180552872704}
{'test_mse_loss': 35.656455993652344, 'test_mae_loss': 2.6810851097106934, 'test_mape_loss': 0.7763131856918335, 'test_ccc_loss': 0.5123038489979166, 'test_rsquare_loss': -0.05608573609288042, 'test_pcc_loss': 0.5123038034414872}
{'test_mse_loss': 35.656455993652344, 'test_mae_loss': 2.6810851097106934, 'test_mape_loss': 0.7763131856918335, 'test_ccc_loss': 0.5123038489979166, 'test_rsquare_loss': -0.05608573609288042, 'test_pcc_loss': 0.5123038034414872}
{'test_mse_loss': 36.12656784057617, 'test_mae_loss': 2.6520774364471436, 'test_mape_loss': 0.7668155431747437, 'test_ccc_loss': 0.48778514441287135, 'test_rsquare_loss': -0.06238515711147696, 'test_pcc_loss': 0.4877851494526815}
{'test_mse_loss': 36.12656784057617, 'test_mae_loss': 2.6520774364471436, 'test_mape_loss': 0.7668155431747437, 'test_ccc_loss': 0.48778514441287135, 'test_rsquare_loss': -0.06238515711147696, 'test_pcc_loss': 0.4877851494526815}
{'test_mse_loss': 34.36195373535156, 'test_mae_loss': 2.56655216217041, 'test_mape_loss': 0.7612861394882202, 'test_ccc_loss': 0.4584072847828137, 'test_rsquare_loss': -0.011896120203691685, 'test_pcc_loss': 0.4584072594287239}
{'test_mse_loss': 34.36195373535156, 'test_mae_loss': 2.56655216217041, 'test_mape_loss': 0.7612861394882202, 'test_ccc_loss': 0.4584072847828137, 'test_rsquare_loss': -0.011896120203691685, 'test_pcc_loss': 0.4584072594287239}
{'test_mse_loss': 34.606605529785156, 'test_mae_loss': 2.686967134475708, 'test_mape_loss': 0.7863551378250122, 'test_ccc_loss': 0.47369978091302023, 'test_rsquare_loss': -0.032133957198905105, 'test_pcc_loss': 0.47369978606555707}
{'test_mse_loss': 34.606605529785156, 'test_mae_loss': 2.686967134475708, 'test_mape_loss': 0.7863551378250122, 'test_ccc_loss': 0.47369978091302023, 'test_rsquare_loss': -0.032133957198905105, 'test_pcc_loss': 0.47369978606555707}
{'test_mse_loss': 67.32406616210938, 'test_mae_loss': 3.6735293865203857, 'test_mape_loss': 0.8107191920280457, 'test_ccc_loss': 0.45967360288223946, 'test_rsquare_loss': -0.09812230504420938, 'test_pcc_loss': 0.45967365871668414}
{'test_mse_loss': 67.32406616210938, 'test_mae_loss': 3.6735293865203857, 'test_mape_loss': 0.8107191920280457, 'test_ccc_loss': 0.45967360288223946, 'test_rsquare_loss': -0.09812230504420938, 'test_pcc_loss': 0.45967365871668414}
{'test_mse_loss': 71.86631774902344, 'test_mae_loss': 3.836726188659668, 'test_mape_loss': 0.8402186632156372, 'test_ccc_loss': 0.44860465557841506, 'test_rsquare_loss': -0.16629582053064196, 'test_pcc_loss': 0.4486046823571303}
{'test_mse_loss': 71.86631774902344, 'test_mae_loss': 3.836726188659668, 'test_mape_loss': 0.8402186632156372, 'test_ccc_loss': 0.44860465557841506, 'test_rsquare_loss': -0.16629582053064196, 'test_pcc_loss': 0.4486046823571303}
{'test_mse_loss': 71.69975280761719, 'test_mae_loss': 3.7953593730926514, 'test_mape_loss': 0.8262202739715576, 'test_ccc_loss': 0.4852530647831677, 'test_rsquare_loss': -0.1604678671844023, 'test_pcc_loss': 0.4852530684760286}
{'test_mse_loss': 71.69975280761719, 'test_mae_loss': 3.7953593730926514, 'test_mape_loss': 0.8262202739715576, 'test_ccc_loss': 0.4852530647831677, 'test_rsquare_loss': -0.1604678671844023, 'test_pcc_loss': 0.4852530684760286}
{'test_mse_loss': 70.54606628417969, 'test_mae_loss': 3.823230743408203, 'test_mape_loss': 0.8414807915687561, 'test_ccc_loss': 0.48263393485076717, 'test_rsquare_loss': -0.14668357384933473, 'test_pcc_loss': 0.48263395388823604}
{'test_mse_loss': 70.54606628417969, 'test_mae_loss': 3.823230743408203, 'test_mape_loss': 0.8414807915687561, 'test_ccc_loss': 0.48263393485076717, 'test_rsquare_loss': -0.14668357384933473, 'test_pcc_loss': 0.48263395388823604}
{'test_mse_loss': 100.0732192993164, 'test_mae_loss': 4.772941589355469, 'test_mape_loss': 0.8873424530029297, 'test_ccc_loss': 0.4828945575879812, 'test_rsquare_loss': -0.1896197231739727, 'test_pcc_loss': 0.48289452169272784}
{'test_mse_loss': 100.0732192993164, 'test_mae_loss': 4.772941589355469, 'test_mape_loss': 0.8873424530029297, 'test_ccc_loss': 0.4828945575879812, 'test_rsquare_loss': -0.1896197231739727, 'test_pcc_loss': 0.48289452169272784}
{'test_mse_loss': 105.33749389648438, 'test_mae_loss': 4.82358455657959, 'test_mape_loss': 0.8829087018966675, 'test_ccc_loss': 0.4304145334905717, 'test_rsquare_loss': -0.2439914720982217, 'test_pcc_loss': 0.430414545922519}
{'test_mse_loss': 105.33749389648438, 'test_mae_loss': 4.82358455657959, 'test_mape_loss': 0.8829087018966675, 'test_ccc_loss': 0.4304145334905717, 'test_rsquare_loss': -0.2439914720982217, 'test_pcc_loss': 0.430414545922519}
