{'test_mse_loss': 63.468360900878906, 'test_mae_loss': 4.294131278991699, 'test_mape_loss': 0.8037580251693726, 'test_ccc_loss': 0.7559975848227539, 'test_rsquare_loss': 0.4116281409050409, 'test_pcc_loss': 0.7559975841386088}
{'test_mse_loss': 54.81793975830078, 'test_mae_loss': 4.188475608825684, 'test_mape_loss': 0.8041220307350159, 'test_ccc_loss': 0.7591809710403612, 'test_rsquare_loss': 0.4693198191563805, 'test_pcc_loss': 0.7591809987732405}
{'test_mse_loss': 54.81793975830078, 'test_mae_loss': 4.188475608825684, 'test_mape_loss': 0.8041220307350159, 'test_ccc_loss': 0.7591809710403612, 'test_rsquare_loss': 0.4693198191563805, 'test_pcc_loss': 0.7591809987732405}
{'test_mse_loss': 60.26276397705078, 'test_mae_loss': 4.164243698120117, 'test_mape_loss': 0.815905749797821, 'test_ccc_loss': 0.7229747174015216, 'test_rsquare_loss': 0.4391594237944877, 'test_pcc_loss': 0.72297472149938}
{'test_mse_loss': 60.26276397705078, 'test_mae_loss': 4.164243698120117, 'test_mape_loss': 0.815905749797821, 'test_ccc_loss': 0.7229747174015216, 'test_rsquare_loss': 0.4391594237944877, 'test_pcc_loss': 0.72297472149938}
{'test_mse_loss': 60.70962142944336, 'test_mae_loss': 4.162939071655273, 'test_mape_loss': 0.808814525604248, 'test_ccc_loss': 0.731270918705034, 'test_rsquare_loss': 0.4378356628301366, 'test_pcc_loss': 0.7312710028806484}
{'test_mse_loss': 60.70962142944336, 'test_mae_loss': 4.162939071655273, 'test_mape_loss': 0.808814525604248, 'test_ccc_loss': 0.731270918705034, 'test_rsquare_loss': 0.4378356628301366, 'test_pcc_loss': 0.7312710028806484}
{'test_mse_loss': 56.32601547241211, 'test_mae_loss': 4.081787109375, 'test_mape_loss': 0.7860461473464966, 'test_ccc_loss': 0.7747049387489673, 'test_rsquare_loss': 0.4660221301217824, 'test_pcc_loss': 0.7747050061763474}
{'test_mse_loss': 56.32601547241211, 'test_mae_loss': 4.081787109375, 'test_mape_loss': 0.7860461473464966, 'test_ccc_loss': 0.7747049387489673, 'test_rsquare_loss': 0.4660221301217824, 'test_pcc_loss': 0.7747050061763474}
